# Energy 	 Lambda 	 Rho 	 Stat 	 Sys 	 Quadrature 
0.132 0.07500000000000001 0.4323187170921974 0.002681529750352336 0.0024822295092936553 0.00365404777456903
0.165 0.07500000000000001 0.7603951748281089 0.0052615096703803 0.001818915313229457 0.005567040230518011
0.198 0.07500000000000001 1.2199627327701834 0.009271903754917767 0.0022393236186297543 0.009538488848314037
0.23099999999999998 0.07500000000000001 1.772783226856154 0.014276339719166252 0.010404977899666573 0.017665713709601256
0.264 0.07500000000000001 2.3233621748550455 0.021314492501710126 0.020732754165305588 0.029734738705501574
0.297 0.07500000000000001 2.741212337002114 0.032562192014073725 0.02742081668283369 0.04256991351077633
0.32999999999999996 0.07500000000000001 2.9122687661728994 0.049094741146019846 0.021422396452451503 0.05356503223149129
0.363 0.07500000000000001 2.7932275348193207 0.07069580731408917 0.005485706340763782 0.07090832211981835
0.39599999999999996 0.07500000000000001 2.4360499528015627 0.09467077465870515 0.05382244503657512 0.10890092361497435
0.42899999999999994 0.07500000000000001 1.9671550776577686 0.11642424593827089 0.1110430889529238 0.1608886964534859
0.46199999999999997 0.07500000000000001 1.5337000091915316 0.1361406695635203 0.1529717309222763 0.20477947253218748
0.49499999999999994 0.07500000000000001 1.2470829964465804 0.16251122447209035 0.15337602934365283 0.2234594022560769
0.5279999999999999 0.07500000000000001 1.1506633747091672 0.20048328858449763 0.09702853504491049 0.22272872651415304
0.5609999999999999 0.07500000000000001 1.220635669396568 0.24014051229901323 0.011374888385793043 0.24040976214168547
0.5939999999999999 0.07500000000000001 1.3907411740040436 0.26714358641976516 0.14754335833724455 0.3051798459181849
0.627 0.07500000000000001 1.583699062369116 0.27662965122813504 0.27652579216766215 0.3911399719698214
0.6599999999999999 0.07500000000000001 1.7355217737976332 0.27733154143013267 0.3650918832371355 0.3584810433132995
0.693 0.07500000000000001 1.8071746057300635 0.2843960840563375 0.3917297011229729 0.38407983986990516
0.7259999999999999 0.07500000000000001 1.7851092772919122 0.30433797177990374 0.35096061958767644 0.36453735863595647
0.7589999999999999 0.07500000000000001 1.675355691443191 0.3291150661851426 0.25198172104617306 0.3145015253668461
0.7919999999999999 0.07500000000000001 1.49568212319982 0.34626655481975877 0.11376941313903922 0.36447771722390165
0.8249999999999998 0.07500000000000001 1.2686587715779096 0.348624786622817 0.04079605285967452 0.35100364638666365
0.8579999999999999 0.07500000000000001 1.0167540885725752 0.33642421539441625 0.189928682877516 0.38633425590198006
0.8909999999999999 0.07500000000000001 0.7594886201162028 0.3155843641296344 0.31621591952973566 0.4467504881330763
0.9239999999999999 0.07500000000000001 0.5121852052075402 0.29480336208533514 0.408133078137732 0.5034695936866468
